experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic4m,mean,0.05,1000,0.045,0.9867,250920,0.026,0.006
ours-cpp,nycdata,plus,0.0,400,0.025,1.0,792180,0.0,0.0
ours-cpp,synthetic1m,max,0.01,1000,0.018,0.9998,340428,0.0,0.0
ours-cpp,synthetic16m,func1,0.01,800,0.012,1.0,373476,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.0,1000,0.022,1.0,711832,0.0,0.0
ours-cpp,synthetic128m,variance,0.0,600,0.18,1.0,1090864,0.0,0.0
ours-cpp,synthetic512m,divide,0.1,600,0.068,0.9928,1941920,0.094,0.004
ours-cpp,soccerdata,plus,0.05,800,0.025,0.9997,392428,0.0,0.0
ours-cpp,nycdata,plus,0.0,1000,0.047,1.0,797988,0.0,0.0
ours-cpp,soccerdata,mean,0.05,800,0.078,0.9894,443240,0.022,0.005
ours-cpp,synthetic1b,mean,0.05,600,0.174,0.9882,3727948,0.025,0.005
ours-cpp,synthetic128m,max,0.01,200,0.033,0.9995,893648,0.001,0.0
ours-cpp,synthetic64m,L2LN,0.1,600,0.057,0.9878,416508,0.031,0.006
ours-cpp,stockdata,divide,0.01,400,0.009,0.995,467284,0.009,0.003
ours-cpp,soccerdata,minus,0.0,400,0.022,1.0,756736,0.0,0.0
ours-cpp,nycdata,func1,0.01,600,0.016,1.0,592324,0.0,0.0
ours-cpp,soccerdata,variance,0.0,1000,0.125,1.0,876088,0.0,0.0
ours-cpp,synthetic4m,L2,0.01,200,0.014,0.9946,391372,0.006,0.002
ours-cpp,synthetic1b,max,0.1,200,0.05,0.9877,3606412,0.014,0.007
ours-cpp,synthetic8m,func1,0.1,400,0.011,1.0,170332,0.0,0.0
ours-cpp,sensordata,L2,0.0,600,0.092,1.0,956660,0.0,0.0
ours-cpp,synthetic512m,max,0.1,400,0.101,0.9889,1944456,0.012,0.006
ours-cpp,soccerdata,L22,0.0,600,0.03,1.0,971284,0.0,0.0
ours-cpp,synthetic512m,plus,0.1,400,0.047,0.978,1938000,0.05,0.011
ours-cpp,sensordata,weightsum,0.01,1200,0.16,1.0,768696,0.0,0.0
ours-cpp,soccerdata,L2LN,0.1,400,0.099,0.9552,350712,0.1,0.042
ours-cpp,synthetic1b,L2LN,0.0,400,0.226,1.0,4355824,0.0,0.0
ours-cpp,synthetic1b,plus,0.0,600,0.122,1.0,4080492,0.0,0.0
ours-cpp,synthetic4m,minus,0.01,1200,0.03,0.992,334712,0.006,0.002
ours-cpp,stockdata,mean,0.05,800,0.032,0.999,360040,0.001,0.0
ours-cpp,synthetic2m,variance,0.05,1000,0.047,0.9905,243352,0.015,0.004
ours-cpp,sensordata,weightsum,0.1,600,0.071,0.9999,501188,0.0,0.0
ours-cpp,soccerdata,L2,0.0,400,0.139,1.0,905352,0.0,0.0
ours-cpp,stockdata,weightsum,0.0,1200,0.066,1.0,695336,0.0,0.0
ours-cpp,synthetic256m,minus,0.05,1200,0.081,0.9796,1099780,0.046,0.007
ours-cpp,synthetic32m,minus,0.0,800,0.053,1.0,598484,0.0,0.0
ours-cpp,synthetic16m,variance,0.05,800,0.085,0.9852,317312,0.03,0.007
ours-cpp,nycdata,weightsum,0.01,600,0.102,0.9927,698728,0.008,0.004
ours-cpp,synthetic16m,divide,0.05,600,0.021,0.9992,287216,0.001,0.0
ours-cpp,synthetic256m,divide,0.1,600,0.036,0.9981,1058528,0.02,0.001
ours-cpp,synthetic256m,func1,0.1,600,0.021,1.0,1057880,0.0,0.0
ours-cpp,synthetic8m,L22,0.01,800,0.024,0.999,429988,0.002,0.0
ours-cpp,synthetic1b,max,0.05,600,0.12,0.9918,3761692,0.008,0.004
ours-cpp,sensordata,divide,0.05,200,0.016,0.9912,554980,0.014,0.005
ours-cpp,synthetic1m,L2LN,0.05,200,0.006,0.9882,260756,0.03,0.005
ours-cpp,synthetic4m,L2LN,0.0,400,0.04,1.0,592032,0.0,0.0
ours-cpp,synthetic32m,L2,0.01,1000,0.11,0.995,522684,0.007,0.002
ours-cpp,synthetic2m,minus,0.01,200,0.006,0.9936,303232,0.006,0.002
ours-cpp,nycdata,func1,0.1,1200,0.022,1.0,255168,0.0,0.0
ours-cpp,synthetic512m,max,0.01,1200,0.223,0.9926,2345492,0.007,0.003
ours-cpp,synthetic1m,mean,0.1,1000,0.023,0.9762,129992,0.065,0.012
ours-cpp,synthetic8m,plus,0.01,1000,0.028,0.998,324912,0.004,0.001
ours-cpp,synthetic128m,variance,0.1,600,0.195,0.9882,636344,0.019,0.005
ours-cpp,stockdata,plus,0.0,1000,0.013,1.0,577704,0.0,0.0
ours-cpp,synthetic2m,L22,0.05,1200,0.019,0.9775,275532,0.041,0.011
ours-cpp,synthetic2m,multi,0.1,1000,0.016,0.9791,120128,0.042,0.01
ours-cpp,sensordata,L22,0.05,800,0.077,0.9743,618800,0.037,0.018
ours-cpp,synthetic64m,plus,0.0,200,0.016,1.0,713680,0.0,0.0
ours-cpp,stockdata,boxcox0,0.01,1000,0.007,1.0,443524,0.0,0.0
ours-cpp,stockdata,plus,0.05,1200,0.015,1.0,320300,0.0,0.0
ours-cpp,synthetic1m,L2,0.1,200,0.011,0.985,147356,0.035,0.007
ours-cpp,synthetic1b,func1,0.1,200,0.013,1.0,3598040,0.0,0.0
ours-cpp,synthetic256m,minus,0.0,200,0.025,1.0,1419264,0.0,0.0
ours-cpp,synthetic256m,L2,0.1,800,0.111,0.992,1060772,0.034,0.003
ours-cpp,soccerdata,L22,0.0,400,0.021,1.0,970492,0.0,0.0
ours-cpp,synthetic4m,variance,0.05,1200,0.048,0.9858,264900,0.043,0.006
ours-cpp,nycdata,minus,0.1,1200,0.032,0.9815,263028,0.027,0.011
ours-cpp,synthetic512m,divide,0.1,400,0.063,0.9998,1941920,0.001,0.0
ours-cpp,synthetic1b,divide,0.1,600,0.049,0.9995,3602960,0.026,0.0
ours-cpp,synthetic2m,func1,0.05,200,0.002,1.0,186612,0.0,0.0
ours-cpp,nycdata,multi,0.05,800,0.025,0.9802,427452,0.042,0.011
ours-cpp,synthetic512m,L22,0.0,400,0.079,1.0,2710940,0.0,0.0
ours-cpp,synthetic2m,L2LN,0.01,200,0.014,0.9947,397572,0.007,0.002
ours-cpp,synthetic2m,minus,0.1,1000,0.015,0.9639,113792,0.074,0.016
ours-cpp,stockdata,variance,0.1,800,0.035,1.0,245224,0.0,0.0
ours-cpp,nycdata,L2,0.05,200,0.038,0.9875,495708,0.025,0.008
