experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic1m,L22,0.1,1200,0.016,0.9807,166564,0.037,0.009
ours-cpp,synthetic1b,plus,0.0,200,0.065,1.0,4072996,0.0,0.0
ours-cpp,synthetic4m,func1,0.05,1000,0.009,1.0,197280,0.0,0.0
ours-cpp,synthetic1m,mean,0.0,1000,0.061,1.0,447876,0.0,0.0
ours-cpp,synthetic512m,plus,0.0,400,0.078,1.0,2445232,0.0,0.0
ours-cpp,synthetic32m,L2LN,0.1,1200,0.087,0.9895,309468,0.015,0.003
ours-cpp,stockdata,weightsum,0.1,800,0.039,0.9996,278460,0.0,0.0
ours-cpp,sensordata,weightsum,0.1,1000,0.124,1.0,501188,0.0,0.0
ours-cpp,synthetic2m,max,0.05,1200,0.034,0.9919,251780,0.007,0.004
ours-cpp,synthetic2m,func1,0.05,1000,0.009,1.0,186612,0.0,0.0
ours-cpp,sensordata,minus,0.0,1000,0.16,1.0,867352,0.0,0.0
ours-cpp,synthetic2m,multi,0.01,1200,0.023,0.9974,321692,0.004,0.001
ours-cpp,synthetic8m,variance,0.1,600,0.056,0.9861,170332,0.052,0.006
ours-cpp,nycdata,divide,0.1,1200,0.034,0.9572,276924,0.074,0.031
ours-cpp,synthetic2m,L2,0.01,400,0.023,0.9954,365176,0.006,0.002
ours-cpp,synthetic128m,L22,0.05,1000,0.068,0.9809,762392,0.034,0.009
ours-cpp,synthetic512m,L22,0.05,800,0.096,0.9834,2162984,0.035,0.008
ours-cpp,sensordata,divide,0.0,1200,0.144,1.0,922348,0.0,0.0
ours-cpp,synthetic512m,func1,0.0,200,0.017,1.0,2432824,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.0,200,0.029,1.0,590884,0.0,0.0
ours-cpp,synthetic1m,multi,0.01,1000,0.012,0.9974,299780,0.005,0.001
ours-cpp,synthetic4m,multi,0.0,1000,0.034,1.0,478700,0.0,0.0
ours-cpp,nycdata,variance,0.05,1000,0.161,0.9965,480664,0.005,0.002
ours-cpp,sensordata,mean,0.0,1000,0.184,1.0,935980,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.0,800,0.006,1.0,387712,0.0,0.0
ours-cpp,synthetic1m,plus,0.01,600,0.009,0.997,278664,0.004,0.001
ours-cpp,synthetic64m,L2LN,0.1,800,0.074,0.9889,416508,0.027,0.005
ours-cpp,synthetic2m,weightsum,0.1,400,0.015,0.9773,161576,0.086,0.011
ours-cpp,synthetic256m,variance,0.05,1000,0.3,0.9851,1144304,0.045,0.007
ours-cpp,synthetic2m,minus,0.0,600,0.021,1.0,430964,0.0,0.0
ours-cpp,synthetic128m,plus,0.05,400,0.031,0.9893,645392,0.018,0.005
ours-cpp,synthetic16m,mean,0.1,200,0.018,0.9783,265536,0.095,0.011
ours-cpp,sensordata,minus,0.01,600,0.034,0.9977,680492,0.004,0.001
ours-cpp,synthetic2m,mean,0.0,400,0.037,1.0,465716,0.0,0.0
ours-cpp,stockdata,multi,0.0,200,0.003,1.0,590112,0.0,0.0
ours-cpp,nycdata,multi,0.1,200,0.008,0.9718,263028,0.079,0.018
ours-cpp,synthetic16m,weightsum,0.0,200,0.034,1.0,678300,0.0,0.0
ours-cpp,synthetic32m,boxcox0,0.05,800,0.014,1.0,309468,0.0,0.0
ours-cpp,soccerdata,minus,0.1,1200,0.038,0.9907,257492,0.01,0.004
ours-cpp,synthetic64m,weightsum,0.1,600,0.057,0.9809,416508,0.064,0.009
ours-cpp,synthetic64m,weightsum,0.01,1200,0.15,0.9949,681024,0.009,0.002
ours-cpp,stockdata,multi,0.01,800,0.011,1.0,461740,0.0,0.0
ours-cpp,nycdata,divide,0.01,400,0.018,0.9937,612120,0.008,0.004
ours-cpp,synthetic64m,max,0.0,800,0.123,1.0,850068,0.0,0.0
ours-cpp,synthetic2m,boxcox0,0.0,1000,0.011,1.0,414396,0.0,0.0
ours-cpp,synthetic16m,L22,0.0,1000,0.053,1.0,704448,0.0,0.0
ours-cpp,synthetic1m,L22,0.1,600,0.01,0.9727,163660,0.052,0.014
ours-cpp,nycdata,multi,0.0,200,0.023,1.0,812244,0.0,0.0
ours-cpp,stockdata,L22,0.05,800,0.014,1.0,417124,0.0,0.0
ours-cpp,synthetic1m,plus,0.0,1000,0.022,1.0,398792,0.0,0.0
ours-cpp,soccerdata,max,0.0,800,0.159,1.0,888196,0.0,0.0
ours-cpp,synthetic256m,divide,0.0,400,0.043,1.0,1460280,0.0,0.0
ours-cpp,synthetic2m,func1,0.1,400,0.007,1.0,107172,0.0,0.0
ours-cpp,sensordata,weightsum,0.01,800,0.097,1.0,761872,0.0,0.0
ours-cpp,synthetic64m,multi,0.0,1000,0.07,1.0,762496,0.0,0.0
ours-cpp,synthetic1b,weightsum,0.0,1000,0.553,1.0,4325124,0.0,0.0
ours-cpp,synthetic256m,L22,0.05,800,0.088,0.9866,1181928,0.027,0.006
ours-cpp,synthetic16m,weightsum,0.0,800,0.115,1.0,684636,0.0,0.0
ours-cpp,synthetic16m,mean,0.01,800,0.077,0.9932,439140,0.008,0.002
ours-cpp,synthetic4m,max,0.1,1200,0.03,0.9923,160436,0.007,0.003
ours-cpp,nycdata,variance,0.0,200,0.063,1.0,878376,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.0,1200,0.034,1.0,1395156,0.0,0.0
ours-cpp,stockdata,mean,0.1,800,0.03,0.999,232552,0.001,0.0
ours-cpp,synthetic2m,L2LN,0.0,400,0.033,1.0,555080,0.0,0.0
ours-cpp,synthetic64m,L2,0.05,1200,0.139,0.9924,511972,0.019,0.003
ours-cpp,synthetic16m,weightsum,0.01,1000,0.09,0.9951,495632,0.007,0.002
ours-cpp,synthetic16m,max,0.01,1200,0.081,0.992,471648,0.007,0.004
ours-cpp,synthetic256m,variance,0.0,400,0.142,1.0,1524332,0.0,0.0
ours-cpp,synthetic512m,plus,0.1,1200,0.096,0.9828,1938000,0.035,0.008
ours-cpp,synthetic256m,multi,0.0,200,0.023,1.0,1439324,0.0,0.0
ours-cpp,synthetic64m,variance,0.1,200,0.028,0.9872,416208,0.046,0.006
ours-cpp,synthetic64m,divide,0.05,600,0.028,0.9997,451000,0.033,0.0
ours-cpp,synthetic128m,divide,0.01,1200,0.084,0.9998,846472,0.0,0.0
ours-cpp,soccerdata,weightsum,0.01,200,0.028,0.9983,673464,0.005,0.001
ours-cpp,synthetic64m,boxcox0,0.01,800,0.017,1.0,543688,0.0,0.0
ours-cpp,synthetic1b,max,0.1,600,0.117,0.9918,3606412,0.008,0.004
ours-cpp,synthetic64m,func1,0.05,200,0.005,1.0,416508,0.0,0.0
ours-cpp,synthetic8m,variance,0.0,1000,0.111,1.0,553640,0.0,0.0
ours-cpp,synthetic1m,weightsum,0.05,1200,0.027,0.9925,257408,0.013,0.003
ours-cpp,synthetic512m,L2LN,0.01,200,0.083,0.9972,2407456,0.008,0.001
ours-cpp,synthetic1m,multi,0.0,800,0.016,1.0,416644,0.0,0.0
ours-cpp,synthetic512m,multi,0.01,800,0.103,0.9964,2248716,0.008,0.001
ours-cpp,soccerdata,minus,0.01,400,0.015,0.999,570352,0.002,0.0
ours-cpp,stockdata,weightsum,0.01,400,0.024,0.9995,534968,0.001,0.0
ours-cpp,synthetic32m,L22,0.0,600,0.041,1.0,754288,0.0,0.0
ours-cpp,stockdata,L2LN,0.0,800,0.074,1.0,712124,0.0,0.0
ours-cpp,nycdata,minus,0.01,1000,0.032,0.9956,603412,0.006,0.002
ours-cpp,soccerdata,multi,0.01,1200,0.037,0.9967,590872,0.007,0.001
ours-cpp,stockdata,multi,0.05,1000,0.012,1.0,334820,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.05,1200,0.059,0.9906,297244,0.033,0.004
ours-cpp,synthetic256m,multi,0.1,1200,0.092,0.9883,1058528,0.034,0.005
ours-cpp,synthetic2m,boxcox0,0.05,800,0.007,1.0,188460,0.0,0.0
ours-cpp,stockdata,boxcox0,0.05,400,0.003,1.0,313280,0.0,0.0
ours-cpp,synthetic8m,L2,0.1,200,0.021,0.987,173084,0.061,0.006
ours-cpp,stockdata,weightsum,0.01,200,0.013,0.9996,533548,0.001,0.0
ours-cpp,synthetic1m,boxcox0,0.0,200,0.002,1.0,386392,0.0,0.0
ours-cpp,synthetic64m,multi,0.05,1200,0.055,0.9816,449692,0.043,0.009
ours-cpp,sensordata,L22,0.01,800,0.06,0.9974,775144,0.004,0.002
ours-cpp,nycdata,multi,0.1,800,0.024,0.9597,266988,0.086,0.025
ours-cpp,synthetic1m,L2,0.01,1000,0.029,0.9944,352296,0.008,0.002
ours-cpp,synthetic128m,plus,0.01,1200,0.086,0.9983,805060,0.005,0.001
ours-cpp,synthetic512m,max,0.1,600,0.116,0.9906,1944456,0.01,0.004
ours-cpp,synthetic256m,L22,0.0,400,0.051,1.0,1619212,0.0,0.0
ours-cpp,synthetic8m,divide,0.0,1200,0.045,1.0,510876,0.0,0.0
ours-cpp,synthetic8m,L22,0.05,1200,0.023,0.9912,300940,0.015,0.003
ours-cpp,synthetic16m,plus,0.01,1200,0.047,0.9946,393760,0.009,0.002
ours-cpp,soccerdata,L22,0.1,200,0.011,0.9999,335932,0.0,0.0
ours-cpp,synthetic1b,divide,0.0,200,0.041,1.0,4148792,0.0,0.0
ours-cpp,synthetic2m,variance,0.01,400,0.025,0.9936,350700,0.007,0.003
ours-cpp,synthetic32m,variance,0.1,1200,0.09,0.9858,309168,0.037,0.006
ours-cpp,sensordata,weightsum,0.0,1200,0.21,1.0,978780,0.0,0.0
ours-cpp,synthetic16m,L22,0.1,600,0.026,0.9969,268468,0.005,0.001
ours-cpp,synthetic256m,L22,0.1,800,0.048,0.9866,1060772,0.027,0.006
ours-cpp,synthetic128m,func1,0.01,800,0.021,1.0,782028,0.0,0.0
ours-cpp,synthetic32m,func1,0.1,800,0.014,1.0,308256,0.0,0.0
ours-cpp,synthetic64m,minus,0.0,1200,0.091,1.0,750624,0.0,0.0
ours-cpp,sensordata,divide,0.05,1200,0.06,0.9969,566552,0.004,0.002
ours-cpp,synthetic1b,max,0.0,200,0.088,1.0,4258632,0.0,0.0
ours-cpp,nycdata,multi,0.0,800,0.055,1.0,817260,0.0,0.0
ours-cpp,synthetic2m,func1,0.01,200,0.003,1.0,286880,0.0,0.0
ours-cpp,synthetic4m,max,0.0,800,0.034,1.0,538388,0.0,0.0
ours-cpp,stockdata,variance,0.0,400,0.022,1.0,640692,0.0,0.0
ours-cpp,synthetic2m,minus,0.0,200,0.008,1.0,428864,0.0,0.0
ours-cpp,synthetic512m,boxcox0,0.1,1000,0.052,1.0,1938000,0.0,0.0
ours-cpp,stockdata,plus,0.05,200,0.005,1.0,313508,0.0,0.0
ours-cpp,synthetic512m,variance,0.1,600,0.157,0.9695,1944456,0.091,0.016
ours-cpp,nycdata,multi,0.0,1000,0.065,1.0,820428,0.0,0.0
ours-cpp,synthetic1m,divide,0.01,600,0.007,0.9996,303476,0.001,0.0
ours-cpp,synthetic2m,mean,0.01,800,0.039,0.9939,340436,0.009,0.002
ours-cpp,synthetic1b,mean,0.0,800,0.529,1.0,4197408,0.0,0.0
ours-cpp,synthetic128m,divide,0.01,1000,0.069,0.9998,843012,0.0,0.0
ours-cpp,stockdata,mean,0.1,200,0.01,0.9983,218824,0.003,0.001
ours-cpp,synthetic8m,multi,0.1,400,0.016,0.9743,170332,0.061,0.014
ours-cpp,synthetic32m,boxcox0,0.05,1200,0.018,1.0,309468,0.0,0.0
ours-cpp,synthetic4m,L2,0.01,1000,0.047,0.9936,399260,0.01,0.002
ours-cpp,synthetic2m,divide,0.1,1000,0.016,0.9873,126728,0.022,0.008
ours-cpp,synthetic2m,divide,0.0,400,0.012,1.0,453088,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.05,600,0.033,0.9872,288796,0.047,0.006
ours-cpp,stockdata,minus,0.1,200,0.003,1.0,192160,0.0,0.0
ours-cpp,synthetic1b,max,0.1,400,0.092,0.9908,3606412,0.009,0.004
ours-cpp,sensordata,L2,0.1,200,0.027,0.9998,501188,0.0,0.0
ours-cpp,nycdata,L2LN,0.1,800,0.172,0.9596,393144,0.098,0.032
ours-cpp,synthetic2m,plus,0.01,1000,0.022,0.9951,300072,0.007,0.002
ours-cpp,synthetic32m,variance,0.01,800,0.113,0.9971,496592,0.004,0.001
ours-cpp,sensordata,variance,0.1,1200,0.148,0.9999,501188,0.0,0.0
ours-cpp,synthetic8m,max,0.0,600,0.035,1.0,561060,0.0,0.0
ours-cpp,synthetic2m,plus,0.0,600,0.02,1.0,419364,0.0,0.0
ours-cpp,synthetic16m,L2,0.1,400,0.026,0.9871,268468,0.059,0.006
ours-cpp,synthetic4m,L2LN,0.1,800,0.031,0.986,191276,0.038,0.006
ours-cpp,synthetic8m,boxcox0,0.01,400,0.005,1.0,313504,0.0,0.0
ours-cpp,synthetic16m,plus,0.1,800,0.027,0.9694,261636,0.083,0.015
ours-cpp,synthetic64m,boxcox0,0.05,1200,0.023,1.0,417160,0.0,0.0
ours-cpp,synthetic16m,L2,0.05,600,0.049,0.9893,334540,0.043,0.004
ours-cpp,sensordata,mean,0.05,600,0.092,0.9999,569420,0.001,0.0
ours-cpp,synthetic512m,func1,0.1,800,0.055,1.0,1938000,0.0,0.0
ours-cpp,nycdata,weightsum,0.01,400,0.075,0.9939,698200,0.007,0.003
ours-cpp,stockdata,minus,0.01,200,0.003,1.0,449068,0.0,0.0
ours-cpp,synthetic128m,func1,0.0,600,0.019,1.0,966976,0.0,0.0
ours-cpp,synthetic32m,variance,0.05,800,0.082,0.984,359420,0.046,0.007
ours-cpp,synthetic8m,L22,0.05,600,0.014,0.9892,297244,0.019,0.004
ours-cpp,synthetic64m,minus,0.1,1000,0.073,0.9811,415232,0.027,0.006
ours-cpp,synthetic16m,minus,0.0,600,0.031,1.0,550004,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.1,1000,0.028,1.0,260236,0.0,0.0
ours-cpp,stockdata,variance,0.05,200,0.012,1.0,371296,0.0,0.0
ours-cpp,sensordata,func1,0.1,200,0.005,1.0,470988,0.0,0.0
ours-cpp,soccerdata,mean,0.01,200,0.04,0.9962,612488,0.009,0.002
ours-cpp,synthetic256m,divide,0.05,800,0.043,0.9982,1113268,0.017,0.001
ours-cpp,nycdata,variance,0.01,400,0.066,0.9951,656116,0.008,0.002
ours-cpp,synthetic1b,boxcox0,0.01,400,0.018,1.0,3835580,0.0,0.0
ours-cpp,synthetic64m,L2,0.01,400,0.06,0.9941,650412,0.009,0.002
ours-cpp,synthetic32m,plus,0.01,1200,0.052,0.998,431420,0.003,0.001
ours-cpp,synthetic32m,L2,0.0,200,0.048,1.0,702848,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.01,200,0.006,1.0,1202292,0.0,0.0
ours-cpp,synthetic256m,func1,0.0,200,0.01,1.0,1390404,0.0,0.0
ours-cpp,synthetic4m,L2,0.0,600,0.053,1.0,548236,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.1,1200,0.044,1.0,415232,0.0,0.0
ours-cpp,soccerdata,L2LN,0.1,600,0.132,0.9552,358632,0.099,0.041
ours-cpp,synthetic4m,L2,0.01,1200,0.056,0.994,404536,0.008,0.002
ours-cpp,nycdata,L22,0.0,800,0.044,1.0,957876,0.0,0.0
ours-cpp,synthetic32m,minus,0.0,200,0.014,1.0,591888,0.0,0.0
ours-cpp,synthetic2m,func1,0.1,1000,0.016,1.0,107172,0.0,0.0
ours-cpp,synthetic32m,func1,0.01,200,0.004,1.0,410776,0.0,0.0
ours-cpp,synthetic64m,max,0.1,1200,0.103,0.994,416208,0.005,0.003
ours-cpp,soccerdata,func1,0.0,400,0.008,1.0,743804,0.0,0.0
ours-cpp,synthetic2m,plus,0.01,400,0.011,0.9978,294004,0.003,0.001
ours-cpp,synthetic4m,max,0.05,1200,0.03,0.9923,269916,0.007,0.003
ours-cpp,synthetic32m,func1,0.1,1200,0.018,1.0,308256,0.0,0.0
ours-cpp,synthetic8m,divide,0.01,800,0.021,0.9999,355368,0.0,0.0
ours-cpp,synthetic64m,L2,0.05,1000,0.123,0.9859,508276,0.03,0.006
ours-cpp,synthetic16m,multi,0.05,1200,0.042,0.9955,285632,0.007,0.002
ours-cpp,synthetic2m,plus,0.0,200,0.008,1.0,415980,0.0,0.0
ours-cpp,sensordata,L22,0.0,400,0.06,1.0,981908,0.0,0.0
ours-cpp,synthetic32m,L2,0.01,1200,0.12,0.9954,527960,0.006,0.002
ours-cpp,synthetic32m,L2LN,0.01,800,0.09,0.997,560220,0.005,0.001
ours-cpp,synthetic4m,func1,0.0,1200,0.014,1.0,440232,0.0,0.0
ours-cpp,synthetic4m,boxcox0,0.01,1000,0.009,1.0,309904,0.0,0.0
ours-cpp,synthetic2m,divide,0.1,800,0.013,0.9909,124880,0.048,0.006
ours-cpp,synthetic64m,plus,0.01,800,0.042,0.997,553872,0.007,0.001
ours-cpp,synthetic4m,weightsum,0.05,800,0.036,0.9911,284036,0.015,0.004
ours-cpp,synthetic16m,plus,0.0,1000,0.051,1.0,542084,0.0,0.0
ours-cpp,synthetic1m,L2,0.05,200,0.007,0.985,238052,0.035,0.007
ours-cpp,sensordata,boxcox0,0.01,800,0.016,1.0,661340,0.0,0.0
ours-cpp,synthetic8m,func1,0.01,800,0.01,1.0,313408,0.0,0.0
ours-cpp,synthetic16m,minus,0.05,800,0.028,0.9867,274696,0.012,0.004
ours-cpp,synthetic128m,L2LN,0.1,400,0.108,0.9759,636516,0.059,0.013
ours-cpp,synthetic512m,minus,0.1,1200,0.089,0.9754,1940268,0.051,0.008
ours-cpp,synthetic32m,func1,0.01,800,0.016,1.0,410776,0.0,0.0
ours-cpp,synthetic1b,divide,0.01,400,0.056,0.9996,3905576,0.001,0.0
ours-cpp,soccerdata,mean,0.1,1000,0.103,0.9902,279504,0.02,0.005
ours-cpp,synthetic512m,multi,0.01,200,0.029,0.9974,2242032,0.004,0.001
ours-cpp,sensordata,L2,0.0,800,0.117,1.0,958772,0.0,0.0
ours-cpp,sensordata,minus,0.1,1200,0.063,0.9981,487608,0.004,0.001
ours-cpp,synthetic512m,multi,0.0,200,0.046,1.0,2494684,0.0,0.0
ours-cpp,synthetic64m,weightsum,0.0,400,0.095,1.0,886500,0.0,0.0
ours-cpp,synthetic1b,minus,0.05,200,0.028,0.9897,3676208,0.024,0.004
ours-cpp,synthetic32m,divide,0.1,600,0.022,0.9991,309168,0.068,0.001
ours-cpp,synthetic16m,plus,0.01,800,0.032,0.9971,385276,0.004,0.001
ours-cpp,synthetic1b,weightsum,0.0,400,0.26,1.0,4305664,0.0,0.0
ours-cpp,synthetic2m,weightsum,0.1,1000,0.035,0.9808,166308,0.063,0.009
ours-cpp,synthetic1m,max,0.05,800,0.01,0.9861,234092,0.015,0.007
ours-cpp,soccerdata,plus,0.0,400,0.018,1.0,747500,0.0,0.0
ours-cpp,synthetic32m,weightsum,0.1,1000,0.079,0.9911,309468,0.033,0.003
ours-cpp,synthetic1b,max,0.05,800,0.179,0.9927,3762384,0.007,0.003
ours-cpp,synthetic1m,func1,0.01,400,0.004,1.0,270752,0.0,0.0
ours-cpp,soccerdata,func1,0.01,1200,0.019,1.0,558220,0.0,0.0
ours-cpp,synthetic128m,boxcox0,0.05,1200,0.03,1.0,643528,0.0,0.0
ours-cpp,synthetic4m,max,0.0,200,0.011,1.0,537596,0.0,0.0
ours-cpp,stockdata,minus,0.05,200,0.003,1.0,320456,0.0,0.0
ours-cpp,synthetic1m,plus,0.1,1200,0.014,0.9825,103192,0.038,0.008
ours-cpp,synthetic128m,variance,0.01,400,0.082,0.9936,878636,0.007,0.003
ours-cpp,synthetic128m,minus,0.05,200,0.014,0.9818,656172,0.021,0.006
ours-cpp,synthetic2m,L22,0.1,400,0.008,0.9656,172688,0.076,0.018
ours-cpp,synthetic8m,minus,0.01,200,0.007,0.9973,330572,0.004,0.001
ours-cpp,synthetic256m,divide,0.0,1200,0.117,1.0,1477632,0.0,0.0
ours-cpp,sensordata,multi,0.1,1000,0.054,0.9323,491832,0.1,0.048
ours-cpp,synthetic256m,plus,0.0,800,0.088,1.0,1407176,0.0,0.0
ours-cpp,synthetic8m,minus,0.05,600,0.024,0.996,224432,0.008,0.002
ours-cpp,synthetic8m,weightsum,0.1,1000,0.084,0.9888,189188,0.037,0.005
ours-cpp,sensordata,max,0.01,1000,0.124,1.0,745928,0.0,0.0
ours-cpp,synthetic4m,variance,0.05,600,0.033,0.9916,257728,0.016,0.003
ours-cpp,synthetic128m,func1,0.01,400,0.012,1.0,782028,0.0,0.0
ours-cpp,synthetic64m,L22,0.0,800,0.062,1.0,912444,0.0,0.0
ours-cpp,stockdata,func1,0.1,1200,0.006,1.0,176496,0.0,0.0
ours-cpp,synthetic8m,boxcox0,0.05,1000,0.022,1.0,211364,0.0,0.0
ours-cpp,nycdata,boxcox0,0.05,400,0.006,1.0,413988,0.0,0.0
ours-cpp,synthetic256m,func1,0.05,1200,0.04,1.0,1070716,0.0,0.0
ours-cpp,synthetic8m,max,0.1,200,0.017,0.9899,170332,0.011,0.005
ours-cpp,synthetic128m,func1,0.1,1200,0.058,1.0,629076,0.0,0.0
ours-cpp,stockdata,mean,0.1,1200,0.045,0.9991,244696,0.001,0.0
ours-cpp,soccerdata,divide,0.05,200,0.019,0.9692,416796,0.05,0.025
ours-cpp,synthetic128m,plus,0.1,800,0.054,0.9792,629996,0.067,0.01
ours-cpp,synthetic1b,variance,0.1,600,0.135,0.9822,3606412,0.074,0.008
ours-cpp,synthetic64m,variance,0.05,1000,0.181,0.9899,487852,0.024,0.004
ours-cpp,synthetic8m,mean,0.01,200,0.018,0.9948,361704,0.007,0.002
ours-cpp,synthetic32m,L22,0.1,1000,0.034,0.9883,309468,0.021,0.005
ours-cpp,synthetic256m,variance,0.01,1200,0.266,0.9967,1316468,0.005,0.001
ours-cpp,synthetic32m,weightsum,0.05,1000,0.098,0.9911,389560,0.033,0.003
ours-cpp,synthetic8m,max,0.0,1200,0.064,1.0,567128,0.0,0.0
ours-cpp,synthetic1m,max,0.01,600,0.011,0.9998,338316,0.0,0.0
ours-cpp,synthetic64m,divide,0.0,200,0.015,1.0,767776,0.0,0.0
ours-cpp,synthetic1m,L2LN,0.01,800,0.024,0.9935,378688,0.009,0.002
ours-cpp,synthetic1m,weightsum,0.1,400,0.02,0.9867,156596,0.023,0.006
ours-cpp,sensordata,L22,0.01,1000,0.061,0.9946,778488,0.008,0.004
ours-cpp,synthetic512m,plus,0.01,400,0.06,0.9958,2202872,0.009,0.002
ours-cpp,synthetic64m,multi,0.01,400,0.021,0.9958,575640,0.008,0.002
ours-cpp,synthetic128m,weightsum,0.1,400,0.12,0.983,636344,0.066,0.008
ours-cpp,synthetic1m,func1,0.1,200,0.003,1.0,96560,0.0,0.0
ours-cpp,synthetic4m,max,0.1,800,0.02,0.991,155948,0.009,0.004
ours-cpp,synthetic1m,multi,0.1,200,0.003,0.9729,110984,0.069,0.015
ours-cpp,synthetic64m,boxcox0,0.05,200,0.004,1.0,416508,0.0,0.0
ours-cpp,synthetic256m,divide,0.1,1000,0.065,0.9986,1058528,0.017,0.0
ours-cpp,synthetic4m,L2LN,0.1,1000,0.031,0.9887,194112,0.036,0.005
ours-cpp,synthetic256m,L2,0.0,1200,0.425,1.0,1590512,0.0,0.0
ours-cpp,soccerdata,max,0.1,200,0.019,0.9954,297432,0.011,0.004
ours-cpp,synthetic512m,divide,0.05,200,0.028,0.9998,2054716,0.001,0.0
ours-cpp,synthetic8m,L2LN,0.0,200,0.026,1.0,618600,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.01,200,0.018,0.9952,414704,0.009,0.002
ours-cpp,synthetic128m,max,0.0,1000,0.16,1.0,1119288,0.0,0.0
ours-cpp,synthetic32m,mean,0.05,1200,0.084,0.9916,354232,0.031,0.003
ours-cpp,synthetic8m,weightsum,0.05,400,0.028,0.9916,288796,0.017,0.003
ours-cpp,synthetic8m,L22,0.1,600,0.028,0.9892,192620,0.019,0.004
ours-cpp,synthetic1m,L2LN,0.01,1000,0.029,0.9952,381856,0.006,0.002
ours-cpp,synthetic1b,variance,0.01,600,0.256,0.9946,3956516,0.006,0.002
ours-cpp,soccerdata,max,0.05,400,0.034,0.9948,466824,0.012,0.004
ours-cpp,stockdata,divide,0.01,1200,0.02,0.9939,477052,0.009,0.003
ours-cpp,synthetic1b,L2LN,0.1,1200,0.23,0.9868,3646644,0.03,0.007
ours-cpp,synthetic64m,minus,0.05,1200,0.054,0.9823,438436,0.028,0.006
ours-cpp,synthetic512m,multi,0.01,400,0.055,0.998,2242820,0.003,0.001
ours-cpp,synthetic16m,L2,0.1,1000,0.07,0.987,268468,0.039,0.006
ours-cpp,synthetic1m,mean,0.1,600,0.015,0.9769,125504,0.085,0.011
ours-cpp,synthetic8m,max,0.05,600,0.024,0.9934,272496,0.006,0.003
ours-cpp,sensordata,multi,0.05,1000,0.083,0.9841,548892,0.021,0.01
ours-cpp,soccerdata,L22,0.01,1000,0.038,0.9999,692100,0.0,0.0
ours-cpp,soccerdata,mean,0.1,400,0.048,0.9939,273332,0.013,0.003
ours-cpp,sensordata,multi,0.0,200,0.026,1.0,876056,0.0,0.0
ours-cpp,synthetic2m,L22,0.01,600,0.016,0.9988,391796,0.007,0.0
ours-cpp,sensordata,L2LN,0.05,600,0.221,0.9806,640312,0.047,0.014
ours-cpp,synthetic2m,boxcox0,0.0,800,0.009,1.0,413340,0.0,0.0
ours-cpp,synthetic64m,L2,0.1,400,0.038,0.9856,416208,0.05,0.006
ours-cpp,synthetic1m,divide,0.01,1000,0.012,0.9997,307172,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.0,200,0.004,1.0,526508,0.0,0.0
ours-cpp,synthetic8m,multi,0.1,800,0.029,0.9811,170332,0.039,0.009
ours-cpp,synthetic64m,max,0.05,200,0.027,0.9888,494532,0.012,0.006
ours-cpp,synthetic4m,mean,0.1,1000,0.034,0.9836,144332,0.071,0.007
ours-cpp,synthetic1m,plus,0.05,400,0.005,0.9919,184984,0.017,0.003
ours-cpp,nycdata,boxcox0,0.01,200,0.004,1.0,592324,0.0,0.0
ours-cpp,synthetic8m,weightsum,0.05,200,0.014,0.9894,288796,0.023,0.005
ours-cpp,synthetic128m,L22,0.05,1200,0.076,0.9818,765296,0.039,0.008
ours-cpp,stockdata,boxcox0,0.0,1200,0.008,1.0,574008,0.0,0.0
ours-cpp,synthetic1b,L22,0.05,800,0.107,0.9964,3809140,0.006,0.001
ours-cpp,sensordata,weightsum,0.1,1200,0.136,1.0,501188,0.0,0.0
ours-cpp,synthetic1m,variance,0.05,600,0.018,0.9772,223804,0.046,0.011
ours-cpp,synthetic2m,minus,0.0,400,0.015,1.0,429644,0.0,0.0
ours-cpp,stockdata,L2,0.1,1000,0.045,0.9999,270812,0.0,0.0
ours-cpp,synthetic1b,variance,0.0,1200,0.644,1.0,4258052,0.0,0.0
ours-cpp,sensordata,variance,0.05,800,0.099,1.0,581020,0.0,0.0
ours-cpp,synthetic512m,L22,0.05,1200,0.094,0.9842,2169564,0.031,0.007
ours-cpp,synthetic1m,L2,0.1,400,0.012,0.974,147356,0.093,0.013
ours-cpp,synthetic64m,multi,0.1,400,0.028,0.9703,415232,0.073,0.016
ours-cpp,synthetic256m,variance,0.05,1200,0.418,0.9908,1148252,0.027,0.004
ours-cpp,synthetic8m,L22,0.1,200,0.011,0.9814,192620,0.044,0.01
ours-cpp,synthetic128m,multi,0.05,400,0.028,0.9935,668188,0.019,0.003
ours-cpp,sensordata,L22,0.01,1200,0.071,0.9972,783732,0.003,0.001
ours-cpp,synthetic16m,L2,0.1,600,0.038,0.9893,268468,0.043,0.004
