method,data,function,width,sqltime,memory(GB)
DUCK-F-AM4,synthetic64m,boxcox0,12000,0.509,1.4329185485839844
DUCK-F-AM4,synthetic64m,devide,12000,0.497,2.3393630981445312
DUCK-F-AM4,synthetic64m,func1,12000,0.531,1.1473426818847656
DUCK-F-AM4,synthetic64m,L22,12000,0.634,2.3912506103515625
DUCK-F-AM4,synthetic64m,L2LN,12000,1.195,2.390533447265625
DUCK-F-AM4,synthetic64m,L2,12000,0.947,2.8732986450195312
DUCK-F-AM4,synthetic64m,max,12000,0.641,2.3274917602539062
DUCK-F-AM4,synthetic64m,mean,12000,0.644,2.498130798339844
DUCK-F-AM4,synthetic64m,minus,12000,0.471,1.6247711181640625
DUCK-F-AM4,synthetic64m,multi,12000,0.468,1.9327163696289065
DUCK-F-AM4,synthetic64m,plus,12000,0.476,1.5088462829589844
DUCK-F-AM4,synthetic64m,variance,12000,1.123,2.861011505126953
DUCK-F-AM4,synthetic64m,weightsum,12000,0.606,3.1055450439453125
DUCK-F-AM4,synthetic8m,boxcox0,12000,0.106,0.549957275390625
DUCK-F-AM4,synthetic8m,devide,12000,0.098,0.870697021484375
DUCK-F-AM4,synthetic8m,func1,12000,0.12,0.4000244140625
DUCK-F-AM4,synthetic8m,L22,12000,0.134,1.2991371154785156
DUCK-F-AM4,synthetic8m,L2LN,12000,0.199,1.2344589233398438
DUCK-F-AM4,synthetic8m,L2,12000,0.17,1.3641014099121094
DUCK-F-AM4,synthetic8m,max,12000,0.131,1.1223793029785156
DUCK-F-AM4,synthetic8m,mean,12000,0.114,0.9933242797851562
DUCK-F-AM4,synthetic8m,minus,12000,0.098,0.7526016235351562
DUCK-F-AM4,synthetic8m,multi,12000,0.089,0.8405838012695312
DUCK-F-AM4,synthetic8m,plus,12000,0.098,0.63800048828125
DUCK-F-AM4,synthetic8m,variance,12000,0.207,1.112407684326172
DUCK-F-AM4,synthetic8m,weightsum,12000,0.115,1.1729698181152344
DUCK-F-AM4,synthetic128m,boxcox0,1200,0.97,2.2341346740722656
DUCK-F-AM4,synthetic128m,devide,1200,0.881,1.764789581298828
DUCK-F-AM4,synthetic128m,func1,1200,1.079,1.894794464111328
DUCK-F-AM4,synthetic128m,L22,1200,1.186,2.106285095214844
DUCK-F-AM4,synthetic128m,L2LN,1200,1.983,2.7803878784179688
